nomor_konstruksi,nama
1,KONSTRUKSI TIANG AWAL (RISER POLE) - TM-11
2,KONSTRUKSI TIANG AWAL (RISER POLE) DENGAN DS - TM-11 DS
3,KONSTRUKSI TIANG AWAL (RISER POLE) EXISTING LURUS - TM-4X
4,"KONSTRUKSI TIANG AWAL (RISER POLE) EXISTING LURUS DENGAN COS - TM-4XC"
5,"KONSTRUKSI TIANG AWAL (RISER POLE) EXISTING TENGAH - TM-8X"
6,KONSTRUKSI TIANG AWAL (RISER POLE) EXISTING TENGAH DENGAN COS - TM-8XC
7,"KONSTRUKSI TIANG AWAL (RISER POLE) EXISTING SUDUT - TM-10X"
8,"KONSTRUKSI TIANG AWAL (RISER POLE) EXISTING SUDUT DENGAN COS - TM-10XC"
9,KONSTRUKSI TIANG PENUMPU (LINE POLE) - TM-1
10,KONSTRUKSI TIANG PENUMPU (LINE POLE) DENGAN LIGHTNING ARRESTER - TM-1A
11,KONSTRUKSI TIANG SUDUT KECIL (0° sid 15°) - TM-1+SUPP
12,KONSTRUKSI TIANG SUDUT SEDANG (30° sid 45°) - TM-2
13,KONSTRUKSI TIANG SUDUT SEDANG (45° sid 60°) - TM-5+1 SUPP
14,KONSTRUKSI TIANG SUDUT BESAR (600 sId 90°) - TM-10
15,"KONSTRUKSI TIANG SUDUT BESAR (60° sid 90°) TANPA PERLUASAN *) - TM-9"
16,KONSTRUKSI TIANG SUDUT BESAR (60° sid 90°) DENGAN COS - TM-10C
17,KONSTRUKSI TIANG PENEGANG (TENSION POLE) - TM-5
18,KONSTRUKSI TIANG PENEGANG (TENSION POLE) TANPA PERLUASAN *) - TM-6
19,KONSTRUKSI TIANG PENEGANG (TENSION POLE) DENGAN COS - TM-5C
20,"KONSTRUKSI TIANG PENEGANG (TENSION POLE) JARAK MAKS.175 M - TM-TP-2"
21,"KONSTRUKSI TIANG PENEGANG (TENSION POLE) JARAK MAKS.175 MS SUDUT - TM-TP-2A
"
22,KONSTRUKSI TIANG PENEGANG (TENSION POLE) JARAK MAKS.275 M - TM-TP-3
23,KONSTRUKSI TIANG PENEGANG (TENSION POLE) JARAK MAKS.275 MS SUDUT - TM-TP-3A
24,"KONSTRUKSI TIANG PENEGANG (TENSION POLE) DENGAN LIGHTNING ARR - TM-5A"
25,KONSTRUKSI TIANG AKHIR (END POLE) - TM-4
26,KONSTRUKSI TIANG AKHIR TANPA PERLUASAN *) - TM-3
27,KONSTRUKSI TIANG AKHIR DENGAN LIGHTNING ARRESTER (LA) - TM-4A
28,KONSTRUKSI TIANG AKHIR UNTUK GARDU PORTAL - TM-12
29,KONSTRUKSI TIANG AKHIR UNTUK GARDU PORTAL SEJAJAR - TM-13
30,KONSTRUKSI TIANG AKHIR UNTUK GARDU PORTAL SEJAJAR LURUS - TM-14
31, KONSTRUKSI TIANG PENCABANGAN (TEE - OFF POLE) - TM-8
32,KONSTRUKSI TIANG PENCABANGAN TANPA PERLUASAN *) - TM-7
33,KONSTRUKSI TIANG PENCABANGAN SUDUT SEDANG - TM-8A
34,"KONSTRUKSI TIANG PENCABANGAN DENGAN COS - TM-8C"
35,KONSTRUKSI VERTICAL TIANG PENYANGGA - TMV
36,"KONSTRUKSI VERTICAL TIANG PENEGANG - TMVP"
37,KONSTRUKSI VERTICAL TIANG AKHIR - TMVA
