nomer_material,tipe_material,nama_material,sat,berat,harga material,pasang_rab,bongkar,jenis_material,kategori_material
1,1,AAAC 0 70 sqmm ( SPLN ),M,"0,23",21675,2474,1485,MDU PUSAT,PLN
2,1,AAAC 0 150 sqmm ( SPLN ),M,"0,47",26872,4657,2794,MDU PUSAT,PLN
3,1,AAAC 0 240 sqmm ( SPLN ),M,"0,94",57662,5322,3193,MDU PUSAT,PLN
4,1,AAAC 0 S 70 sqmm ( SPLN ),M,"0,33",31887,4657,2794,MDU PUSAT,PLN
5,1,AAAC 0 S 150 sqmm ( SPLN ),M,"0,61",26310,5322,3193,MDU PUSAT,PLN
6,1,AAAC 0 S 240 sqmm ( SPLN ),M,"1,22",41777,6652,3991,MDU PUSAT,PLN
7,1,Alluminium Binding Wire Ø 4,M,"0,04",9135,5795,3477,NON MDU,TUNAI
8,1,"Alluminium Tape ((l=10mm, t=0,8mm)",M,"0,04",9398,2433,1460,NON MDU,TUNAI
9,1,"Arding Pipe 1,5 0 5,5 mtr",S,"4,19",0,0,0,NON MDU,TUNAI
10,1,"Arding Pipe 1,5"" 0 2,5 mtr",S,"1,5",253976,115308,69185,NON MDU,TUNAI
11,1,"Arding Pipe 1,5"" 0 6 mtr",S,"3,5",0,0,0,NON MDU,TUNAI
12,1,"Arm Tie Band 8"" 0 TM 0 (l=44mm, t=6mm)",B,"2,11",83737,26076,15646,NON MDU,TUNAI
13,1,"Arm Tie Type 750 0 3/4"" 0 (t=2,3 mm)",B,"1,3",73791,5215,3129,NON MDU,TUNAI
14,1,"Arm Tie Type 900 0 3/4"" 0 (t=2,3 mm)",B,"1,56",74415,5215,3129,NON MDU,TUNAI
15,1,MV Guy Insulator ( TM ) 0 belimbing,B,"1,5",85303,7501,4500,NON MDU,TUNAI
16,1,Baut mata,B,"0,85",25811,4500,2700,NON MDU,TUNAI
17,1,BC 50 MM,M,"0,19",91011,4056,2434,NON MDU,TUNAI
18,1,"Begel Ornament 4"" 0 10"" 0 (l=44mm, t=6mm)",B,"2,11",155483,16805,10083,NON MDU,TUNAI
19,1,"Begel Ornament 4"" 0 3 u/ Ferlengk 0 (l=44mm, t=6mm)",B,"2,11",80016,16805,10083,NON MDU,TUNAI
20,1,Beton Block 400 x 400 x 100 0 kotak,B,"21,15",187872,131780,79068,NON MDU,TUNAI
21,1,"Beugels 3""+Bolt & nut 0 (l=44mm, t=6mm)",B,"1,2",39813,6664,3998,NON MDU,TUNAI
22,1,"Beugels u/ dask 1.5 ""/ fixing colar + dekschroeven",B,"0,25",0,0,0,NON MDU,TUNAI
23,1,Klem C 50 mm,B,"0,4",55970,13328,7997,NON MDU,TUNAI
24,1,Bimetal Connector Al/Cu 0150 mm,B,"0,4",77434,20282,12169,NON MDU,TUNAI
25,1,"Bolt & Nut 3/16 x 0,5""",B,"0,2",6354,2318,1391,NON MDU,TUNAI
26,1,Bolt & Nut M.16 x 140 (517/U/2009),S,"0,26",26472,3303,1982,NON MDU,TUNAI
27,1,Bolt & Nut M.16 x 120 (517/U/2009),S,"0,26",23914,3187,1912,NON MDU,TUNAI
28,1,Double Arm Bolt & Nut M.16 x 350 (besi as),S,"0,68",66778,4346,2608,NON MDU,TUNAI
29,1,Double Arm Bolt & Nut M.16 x 400 (besi as),S,"0,76",73261,4636,2781,NON MDU,TUNAI
30,1,Bolt & Nut M.16 x 50 (517/U/2009),B,"0,14",14432,2492,1495,NON MDU,TUNAI
31,1,Bolt & Nut M.16 x 75 (517/U/2009),B,"0,18",17626,2550,1530,NON MDU,TUNAI
32,1,Bolt M.12 x 30 0 CU,B,"0,14",16723,2608,1565,NON MDU,TUNAI
33,1,Bongkar BC 16 mm / AAAC 35 MM,M,"0,23",0,0,0,NON MDU,TUNAI
34,1,Borring untuk Kabel tanah,M,0,1102632,897188,538313,NON MDU,TUNAI
35,1,Bundled End Assembly ( BEA ) 0 komplit,S,"0,75",72238,30986,18592,NON MDU,TUNAI
36,1,Comp. Joint Bimetal Al/Cu 0 70/70 mm (507/U/2009),B,"0,4",83341,13866,8320,NON MDU,TUNAI
37,1,Connector for Alluminium 70 mm 0 Type H (507/U/2009),B,"0,1",23764,22532,13519,NON MDU,TUNAI
38,1,Compresion Joint Sleeve 95 mm (507/U/2009),B,"0,18",112333,13328,7997,NON MDU,TUNAI
39,1,Concrete Slove / pengaman kabel uk.450x300x40 mm,B,"0,01",24363,2897,1738,NON MDU,TUNAI
40,1,Conn. press AL/AL type 6025 mm2 / 35070 mm2 + vinil masive,B,"0,4",17537,13328,7997,NON MDU,TUNAI
41,1,Conn. press AL/AL type 6025 mm2 / 6025 mm2 + vinil masive,B,"0,4",18409,4926,2955,NON MDU,TUNAI
42,1,Connector press AL/AL type 35016mm2 & Cover+tanda phasa,B,"0,1",18730,13354,8012,NON MDU,TUNAI
43,1,Connector press AL/AL type 70035mm2 & Cover+tanda phasa,B,"0,1",30698,13354,8012,NON MDU,TUNAI
44,1,Terminal Lug 50 mm2 AL0CU. (507/U/2009),B,"0,04",81167,12748,7649,NON MDU,TUNAI
45,1,Terminal Lug 70 mm2 AL0CU. (507/U/2009),B,"0,04",60500,12748,7649,NON MDU,TUNAI
46,1,"Cross arm 0 UNP 100 x 50 x 5 mm 0 3000 mm 0 (l=50mm, t=5mm, tgg=100mm)",B,21,763486,69185,41511,NON MDU,TUNAI
47,1,"Cross arm 0 UNP 100 x 50 x 5 mm 0 6000 mm0 (l=50mm, t=5mm, tgg=100mm)",B,42,1537047,98835,59301,NON MDU,TUNAI
48,1,"Cross Arm Clevis  0 TM 0 (l=50mm, t=6mm)",B,"0,82",43910,6954,4172,NON MDU,TUNAI
49,1,Cross Arm UNP 100 x 50 x 5 0 2.000 0 tumpu/tarik,B,14,495328,46123,27674,NON MDU,TUNAI
50,1,Cross Arm UNP 100 x 50 x 5 0 2.000 0 tumpu/tarik,B,14,495328,46123,27674,NON MDU,TUNAI
51,1,"Cross Arm UNP080 0 2500 (l=45mm,t=3,5mm,tgg=80mm)",S,8,482745,49418,29651,NON MDU,TUNAI
52,1,"Cross Arm UNP 100 x 50 x 5 mm 0 2500 mm 0 (l=50mm, t=5mm, tgg=100mm)",B,"14,28",642111,59301,35581,NON MDU,TUNAI
