nomer_material,tipe_material,nama_material,sat,berat,harga material,pasang_rab,bongkar,jenis_material,kategori_material
1,1,AAAC - 70 sqmm ( SPLN ),M,0.23,21.675,2.474,1.485,MDU PUSAT,PLN
2,3,AAAC - 150 sqmm ( SPLN ),M,0.47,26.872,4.657,2.794,MDU PUSAT,PLN
3,3,AAAC - 240 sqmm ( SPLN ),M,0.94,57.662,5.322,3.193,MDU PUSAT,PLN
4,1,AAAC - S 70 sqmm ( SPLN ),M,0.33,31.887,4.657,2.794,MDU PUSAT,PLN
5,1,AAAC - S 150 sqmm ( SPLN ),M,0.61,26.310,5.322,3.193,MDU PUSAT,PLN
6,1,AAAC - S 240 sqmm ( SPLN ),M,1.22,41.777,6.652,3.991,MDU PUSAT,PLN
7,1,Alluminium Binding Wire Ø 4,M,0.04,9.135,5.795,3.477,NON MDU,TUNAI
8,1,"Alluminium Tape ((l=10mm, t=0,8mm)",M,0.04,9.398,2.433,1.460,NON MDU,TUNAI
9,1,"Arding Pipe 1,5 - 5,5 mtr",S,4.19,0,0,0,NON MDU,TUNAI
10,1,"Arding Pipe 1,5"" - 2,5 mtr",S,1.50,253.976,115.308,69.185,NON MDU,TUNAI
11,1,"Arding Pipe 1,5"" - 6 mtr",S,3.50,0,0,0,NON MDU,TUNAI
12,1,"Arm Tie Band 8"" - TM - (l=44mm, t=6mm)",B,2.11,83.737,26.076,15.646,NON MDU,TUNAI
13,1,"Arm Tie Type 750 - 3/4"" - (t=2,3 mm)",B,1.30,73.791,5.215,3.129,NON MDU,TUNAI
14,1,"Arm Tie Type 900 - 3/4"" - (t=2,3 mm)",B,1.56,74.415,5.215,3.129,NON MDU,TUNAI
15,1,MV Guy Insulator ( TM ) - belimbing,B,1.50,85.303,7.501,4.500,NON MDU,TUNAI
16,1,Baut mata,B,0.85,25.811,4.500,2.700,NON MDU,TUNAI
17,1,BC 50 MM,M,0.19,91.011,4.056,2.434,NON MDU,TUNAI
18,1,"Begel Ornament 4"" - 10"" - (l=44mm, t=6mm)",B,2.11,155.483,16.805,10.083,NON MDU,TUNAI
19,1,"Begel Ornament 4"" - 3 u/ Ferlengk - (l=44mm, t=6mm)",B,2.11,80.016,16.805,10.083,NON MDU,TUNAI
20,1,Beton Block 400 x 400 x 100 - kotak,B,21.15,187.872,131.780,79.068,NON MDU,TUNAI
21,1,"Beugels 3""+Bolt & nut - (l=44mm, t=6mm)",B,1.20,39.813,6.664,3.998,NON MDU,TUNAI
22,1,"Beugels u/ dask 1.5 ""/ fixing colar + dekschroeven",B,0.25,0,0,0,NON MDU,TUNAI
23,1,Klem C 50 mm,B,0.40,55.970,13.328,7.997,NON MDU,TUNAI
24,1,Bimetal Connector Al/Cu -150 mm,B,0.40,77.434,20.282,12.169,NON MDU,TUNAI
25,1,"Bolt & Nut 3/16 x 0,5""",B,0.20,6.354,2.318,1.391,NON MDU,TUNAI
26,1,Bolt & Nut M.16 x 140 (517/U/2009),S,0.26,26.472,3.303,1.982,NON MDU,TUNAI
27,1,Bolt & Nut M.16 x 120 (517/U/2009),S,0.26,23.914,3.187,1.912,NON MDU,TUNAI
28,1,Double Arm Bolt & Nut M.16 x 350 (besi as),S,0.68,66.778,4.346,2.608,NON MDU,TUNAI
29,1,Double Arm Bolt & Nut M.16 x 400 (besi as),S,0.76,73.261,4.636,2.781,NON MDU,TUNAI
30,1,Bolt & Nut M.16 x 50 (517/U/2009),B,0.14,14.432,2.492,1.495,NON MDU,TUNAI
31,1,Bolt & Nut M.16 x 75 (517/U/2009),B,0.18,17.626,2.550,1.530,NON MDU,TUNAI
32,1,Bolt M.12 x 30 - CU,B,0.14,16.723,2.608,1.565,NON MDU,TUNAI
33,1,Bongkar BC 16 mm / AAAC 35 MM,M,0.23,0,0,0,NON MDU,TUNAI
34,1,Borring untuk Kabel tanah,M,0.00,1.102.632,897.188,538.313,NON MDU,TUNAI
35,1,Bundled End Assembly ( BEA ) - komplit,S,0.75,72.238,30.986,18.592,NON MDU,TUNAI
